source_id,source_type,title,url_or_local_path,captured_at,license,commercial_use,redistribution,asset_category,dimensions_or_specs,copyright_notes,status
SRC-MFG-MCDERMOTT-20260813,official_manufacturer,McDermott Custom Pool Cue Options,https://www.mcdermottcue.com/mcdermott_custom_build_cue.php,2026-08-13,research_only,false,false,cue_part,stain paint wrap joint engraving weight tip diameter,Competitor product art logos and photographs are not copied,research_only
SRC-MFG-MEUCCI-20260813,official_manufacturer,Meucci Cues FAQ,https://www.meuccicues.com/pages/faq,2026-08-13,research_only,false,false,cue_part,forearm handle butt sleeve splice inlay wrap finish,Competitor product art logos and photographs are not copied,research_only
SRC-MFG-PREDATOR-20260813,official_manufacturer,Predator Pool Cue Technology,https://int.predatorcues.com/pages/predator-technology,2026-08-13,research_only,false,false,cue_part,shaft carbon composite butt weight system tip,Trademarks patents product geometry and art are not cloned,research_only
SRC-MFG-CUETEC-20260813,official_manufacturer,Cuetec AVID Cues and Shafts,https://www.cuetec.com/avid/,2026-08-13,research_only,false,false,cue_part,composite maple shaft ferrule tip diameter weight bumper,Brand assets and proprietary construction are not reused,research_only
SRC-MFG-OLHAUSEN-20260813,official_manufacturer,Olhausen Difference,https://www.olhausenbilliards.com/olhausen-difference,2026-08-13,research_only,false,false,table,slate cushion rail frame wood,Competitor table art and photographs are not copied,research_only
SRC-CC0-POLYHAVEN-20260813,cc0,Poly Haven License,https://polyhaven.com/license,2026-08-13,CC0,true,true,material,Generic wood metal HDRI and test materials,Exact asset page version and hash still required before production,candidate
SRC-CC0-AMBIENTCG-20260813,cc0,ambientCG License,https://docs.ambientcg.com/license/,2026-08-13,CC0,true,true,material,Generic PBR materials,Exact asset page version and hash still required before production,candidate
SRC-MODEL-SKETCHFAB-20260813,marketplace,Sketchfab Licenses,https://sketchfab.com/licenses,2026-08-13,conditional,false,false,cue_part,Per-model license required,Unverified or editorial assets are blocked,blocked
SRC-TECH-THREE-GLTFLOADER-20260813,official_technical,Three.js GLTFLoader,https://threejs.org/docs/pages/GLTFLoader.html,2026-08-13,documentation,true,true,geometry,glTF 2.0 Draco Meshopt KTX2 extensions,Technical reference not a product asset,approved_reference
SRC-TECH-KHRONOS-GLTF-20260813,official_technical,Khronos glTF,https://www.khronos.org/gltf/,2026-08-13,royalty_free_spec,true,true,geometry,GLB glTF runtime delivery,Technical specification not a product asset,approved_reference
SRC-TECH-KHRONOS-PBR-20260813,official_technical,Khronos glTF PBR,https://www.khronos.org/gltf/pbr,2026-08-13,royalty_free_spec,true,true,material,BaseColor Metallic Roughness Normal Clearcoat,Technical reference not a product asset,approved_reference
SRC-SUPPLIER-JLY-20260813,supplier,supplier and factory authorization package,assets/source/supplier/,2026-08-13,supplier_authorized,conditional,conditional,wood wrap inlay cue_part,Factory-specific dimensions scans CAD and material samples,Written authorization and exact file manifest required before approval,blocked
SRC-SUPPLIER-JLY-MATERIAL-WORKBOOK-20260813,supplier,君乐缘素材 workbook candidate previews,君乐缘素材.xlsx / 君乐缘.docx,2026-08-13,supplier_authorization_pending,false,false,wood inlay cue_part,68 unique workbook images and material labels,Preview derivatives are internal candidates only; written commercial/public-use authorization and species/traceability records are required,blocked
